Title,Artist,Difficulty,Level,Genre,SdvxIn_Link,Score,Lamp,Grade,Youtube_Link
マジかる☆doll ユタニケちゃん,Tsubusare BOZZ feat.madoka*,NOV,5.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%9E%E3%82%B8%E3%81%8B%E3%82%8B%E2%98%86doll%20%E3%83%A6%E3%82%BF%E3%83%8B%E3%82%B1%E3%81%A1%E3%82%83%E3%82%93%20NOV%20sdvx
シンクロニティ,おめがシスターズ,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%B7%E3%83%B3%E3%82%AF%E3%83%AD%E3%83%8B%E3%83%86%E3%82%A3%20NOV%20sdvx
FLOOD_FLOOR,brz1128,NOV,6.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=FLOOD_FLOOR%20NOV%20sdvx
落赤,Acotto feat. 記憶に残る,NOV,4.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=%E8%90%BD%E8%B5%A4%20NOV%20sdvx
ハートビート×スラッガー,あまみ×ひなみ,NOV,5.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%8F%E3%83%BC%E3%83%88%E3%83%93%E3%83%BC%E3%83%88%C3%97%E3%82%B9%E3%83%A9%E3%83%83%E3%82%AC%E3%83%BC%20NOV%20sdvx
FLAVOR-G,utzbo,NOV,6.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=FLAVOR-G%20NOV%20sdvx
朱と碧のランページ,covered by 儒烏風亭らでん(ReGLOSS),NOV,4.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E6%9C%B1%E3%81%A8%E7%A2%A7%E3%81%AE%E3%83%A9%E3%83%B3%E3%83%9A%E3%83%BC%E3%82%B8%20NOV%20sdvx
朱と碧のランページ,covered by 儒烏風亭らでん(ReGLOSS),NOV,4.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E6%9C%B1%E3%81%A8%E7%A2%A7%E3%81%AE%E3%83%A9%E3%83%B3%E3%83%9A%E3%83%BC%E3%82%B8%20NOV%20sdvx
カジノファイヤーことみちゃん,covered by 一条莉々華(ReGLOSS),NOV,5.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%AB%E3%82%B8%E3%83%8E%E3%83%95%E3%82%A1%E3%82%A4%E3%83%A4%E3%83%BC%E3%81%93%E3%81%A8%E3%81%BF%E3%81%A1%E3%82%83%E3%82%93%20NOV%20sdvx
カジノファイヤーことみちゃん,covered by 一条莉々華(ReGLOSS),NOV,5.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%AB%E3%82%B8%E3%83%8E%E3%83%95%E3%82%A1%E3%82%A4%E3%83%A4%E3%83%BC%E3%81%93%E3%81%A8%E3%81%BF%E3%81%A1%E3%82%83%E3%82%93%20NOV%20sdvx
Shooting Star,ReGLOSS,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=Shooting%20Star%20NOV%20sdvx
murmur twins (guitar pop ver.),covered by 音乃瀬奏(ReGLOSS),NOV,2.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=murmur%20twins%20%28guitar%20pop%20ver.%29%20NOV%20sdvx
リメンバーリメンバー,covered by 轟はじめ(ReGLOSS),NOV,1.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%AA%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%E3%83%AA%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20NOV%20sdvx
FRENZY HEART,EBIMAYO,NOV,7.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=FRENZY%20HEART%20NOV%20sdvx
HOLOGRAPHY,RYOQUCHA,NOV,5.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=HOLOGRAPHY%20NOV%20sdvx
Like the Starlight,uma,NOV,6.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=Like%20the%20Starlight%20NOV%20sdvx
東風に鳴き翠嵐を想う,めと（Metomate）,NOV,5.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=%E6%9D%B1%E9%A2%A8%E3%81%AB%E9%B3%B4%E3%81%8D%E7%BF%A0%E5%B5%90%E3%82%92%E6%83%B3%E3%81%86%20NOV%20sdvx
Breath of Faith,satie,NOV,4.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=Breath%20of%20Faith%20NOV%20sdvx
焔華,movies(moimoi×Xceon×Dai.),NOV,4.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E7%84%94%E8%8F%AF%20NOV%20sdvx
オーバーライド,吉田夜世,NOV,4.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%AA%E3%83%BC%E3%83%90%E3%83%BC%E3%83%A9%E3%82%A4%E3%83%89%20NOV%20sdvx
Timepiece phase Ⅱ,佐々木博史,NOV,7.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=Timepiece%20phase%20%E2%85%A1%20NOV%20sdvx
ライアーダンサー,マサラダ,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%A9%E3%82%A4%E3%82%A2%E3%83%BC%E3%83%80%E3%83%B3%E3%82%B5%E3%83%BC%20NOV%20sdvx
幻想プロミネンス,deli. vs 駄々子 vs かなたん,NOV,5.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=%E5%B9%BB%E6%83%B3%E3%83%97%E3%83%AD%E3%83%9F%E3%83%8D%E3%83%B3%E3%82%B9%20NOV%20sdvx
右肩の蝶 (空澄セナ Cover),のりP,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E5%8F%B3%E8%82%A9%E3%81%AE%E8%9D%B6%20%28%E7%A9%BA%E6%BE%84%E3%82%BB%E3%83%8A%20Cover%29%20NOV%20sdvx
Misfortune Crawler,Aoi,NOV,6.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=Misfortune%20Crawler%20NOV%20sdvx
// If Summer Ever Comes_,黒魔,NOV,7.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=//%20If%20Summer%20Ever%20Comes_%20NOV%20sdvx
ØVER《Δ》,EmoCosine overlay,NOV,7.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=%C3%98VER%E3%80%8A%CE%94%E3%80%8B%20NOV%20sdvx
オムニシエント・ゼロ,ke-ji（CERTIA）,NOV,7.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%AA%E3%83%A0%E3%83%8B%E3%82%B7%E3%82%A8%E3%83%B3%E3%83%88%E3%83%BB%E3%82%BC%E3%83%AD%20NOV%20sdvx
カミツレの成り方,テヅカ feat. 遠山小春,NOV,6.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%AB%E3%83%9F%E3%83%84%E3%83%AC%E3%81%AE%E6%88%90%E3%82%8A%E6%96%B9%20NOV%20sdvx
KINGDOM COME,RoughSketch,NOV,8.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=KINGDOM%20COME%20NOV%20sdvx
Grαnd Arχitect,CHUBAY,NOV,6.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=Gr%CE%B1nd%20Ar%CF%87itect%20NOV%20sdvx
Lollipop Error 404,Tsubusare BOZZ feat.madoka*,NOV,6.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=Lollipop%20Error%20404%20NOV%20sdvx
千歳に泡影,Inaori feat.兎角あかり,NOV,3.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=%E5%8D%83%E6%AD%B3%E3%81%AB%E6%B3%A1%E5%BD%B1%20NOV%20sdvx
Lost Gear Syndrome,polysha vs. モリモリあつし,NOV,6.0,東方アレンジ,,0.0,No Play,,https://www.youtube.com/results?search_query=Lost%20Gear%20Syndrome%20NOV%20sdvx
EYE OF THE HEAVEN,"BEMANI Sound Team ""U1-ASAMi""",NOV,7.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=EYE%20OF%20THE%20HEAVEN%20NOV%20sdvx
Electronic Sports Complex,栄免建設,NOV,7.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=Electronic%20Sports%20Complex%20NOV%20sdvx
EROICA,"BEMANI Sound Team ""HERO""",NOV,7.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=EROICA%20NOV%20sdvx
Secret Rouge,ハレトキドキ,NOV,4.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=Secret%20Rouge%20NOV%20sdvx
Snow Garland Fairy,"BEMANI Sound Team ""KE!JU""",NOV,6.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=Snow%20Garland%20Fairy%20NOV%20sdvx
ぐしゃ,ポラリスピー,NOV,4.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%81%90%E3%81%97%E3%82%83%20NOV%20sdvx
Dear Deer,Hylen,NOV,6.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=Dear%20Deer%20NOV%20sdvx
DISTORDER,DJ Myosuke,NOV,7.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=DISTORDER%20NOV%20sdvx
アイスクリームマジック,雪乃イト,NOV,3.0,ボーカロイド,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%A2%E3%82%A4%E3%82%B9%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%A0%E3%83%9E%E3%82%B8%E3%83%83%E3%82%AF%20NOV%20sdvx
エクスプロウル,晴いちばん,NOV,4.0,ボーカロイド,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%A8%E3%82%AF%E3%82%B9%E3%83%97%E3%83%AD%E3%82%A6%E3%83%AB%20NOV%20sdvx
惑星ループ (花芽すみれ Cover),ナユタン星人,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E6%83%91%E6%98%9F%E3%83%AB%E3%83%BC%E3%83%97%20%28%E8%8A%B1%E8%8A%BD%E3%81%99%E3%81%BF%E3%82%8C%20Cover%29%20NOV%20sdvx
ギャ・ギャ・ギャ・ギャラクシー！,つきみぐー、,NOV,3.0,ボーカロイド,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%AE%E3%83%A3%E3%83%BB%E3%82%AE%E3%83%A3%E3%83%BB%E3%82%AE%E3%83%A3%E3%83%BB%E3%82%AE%E3%83%A3%E3%83%A9%E3%82%AF%E3%82%B7%E3%83%BC%EF%BC%81%20NOV%20sdvx
悲報！ワイ！ニート！,Shu,NOV,5.0,ボーカロイド,,0.0,No Play,,https://www.youtube.com/results?search_query=%E6%82%B2%E5%A0%B1%EF%BC%81%E3%83%AF%E3%82%A4%EF%BC%81%E3%83%8B%E3%83%BC%E3%83%88%EF%BC%81%20NOV%20sdvx
あおばの足音,駄菓子O型,NOV,3.0,ボーカロイド,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%81%82%E3%81%8A%E3%81%B0%E3%81%AE%E8%B6%B3%E9%9F%B3%20NOV%20sdvx
覚悟せよ！エンタンメ～ン ～より身の切り売り自暴自棄版～,マキシウキョウ,NOV,5.0,ボーカロイド,,0.0,No Play,,https://www.youtube.com/results?search_query=%E8%A6%9A%E6%82%9F%E3%81%9B%E3%82%88%EF%BC%81%E3%82%A8%E3%83%B3%E3%82%BF%E3%83%B3%E3%83%A1%EF%BD%9E%E3%83%B3%20%EF%BD%9E%E3%82%88%E3%82%8A%E8%BA%AB%E3%81%AE%E5%88%87%E3%82%8A%E5%A3%B2%E3%82%8A%E8%87%AA%E6%9A%B4%E8%87%AA%E6%A3%84%E7%89%88%EF%BD%9E%20NOV%20sdvx
Windy Fairy,DJ TOTTO,NOV,5.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=Windy%20Fairy%20NOV%20sdvx
幻影ノ消失,Xceon feat. Mayumi Morinaga,NOV,5.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E5%B9%BB%E5%BD%B1%E3%83%8E%E6%B6%88%E5%A4%B1%20NOV%20sdvx
SCHWARZSCHILD FIELD,L.E.D.,NOV,6.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=SCHWARZSCHILD%20FIELD%20NOV%20sdvx
Towards The Horizon,かめりあ,NOV,6.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=Towards%20The%20Horizon%20NOV%20sdvx
ビューティフル レシート,Lucky Vacuum,NOV,6.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%93%E3%83%A5%E3%83%BC%E3%83%86%E3%82%A3%E3%83%95%E3%83%AB%20%E3%83%AC%E3%82%B7%E3%83%BC%E3%83%88%20NOV%20sdvx
CO5M1C R4ILR0AD,kanone,NOV,5.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=CO5M1C%20R4ILR0AD%20NOV%20sdvx
ヒュブリスの頂に聳えるのは,qfeileadh feat.のあ,NOV,6.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%92%E3%83%A5%E3%83%96%E3%83%AA%E3%82%B9%E3%81%AE%E9%A0%82%E3%81%AB%E8%81%B3%E3%81%88%E3%82%8B%E3%81%AE%E3%81%AF%20NOV%20sdvx
Ö<3rf10₩,momocaca (月乃×Capchii),NOV,7.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%C3%96%3C3rf10%E2%82%A9%20NOV%20sdvx
Crossfade,La prière,NOV,4.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=Crossfade%20NOV%20sdvx
星界のアルペジオ,yuichi NAGAO,NOV,6.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E6%98%9F%E7%95%8C%E3%81%AE%E3%82%A2%E3%83%AB%E3%83%9A%E3%82%B8%E3%82%AA%20NOV%20sdvx
神凪,BlackY feat. Risa Yuzuki,NOV,8.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=%E7%A5%9E%E5%87%AA%20NOV%20sdvx
Gryphone,ETIA.,NOV,7.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=Gryphone%20NOV%20sdvx
黒蝶のワルツ,ぺのれり,NOV,7.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=%E9%BB%92%E8%9D%B6%E3%81%AE%E3%83%AF%E3%83%AB%E3%83%84%20NOV%20sdvx
Who then no 灯,星野音楽工房,NOV,7.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=Who%20then%20no%20%E7%81%AF%20NOV%20sdvx
神威,TJ.hangneil,NOV,7.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E7%A5%9E%E5%A8%81%20NOV%20sdvx
テレパシ,DECO*27,NOV,3.0,ボーカロイド,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%86%E3%83%AC%E3%83%91%E3%82%B7%20NOV%20sdvx
What's up? Pop!,Capchii feat. 初音ミク,NOV,7.0,ボーカロイド,,0.0,No Play,,https://www.youtube.com/results?search_query=What%27s%20up%3F%20Pop%21%20NOV%20sdvx
Caldwell 99,BlackY,NOV,6.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=Caldwell%2099%20NOV%20sdvx
シュレーディンガーの猫,Cait Sith,NOV,7.0,BEMANI,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%82%B7%E3%83%A5%E3%83%AC%E3%83%BC%E3%83%87%E3%82%A3%E3%83%B3%E3%82%AC%E3%83%BC%E3%81%AE%E7%8C%AB%20NOV%20sdvx
かくれんぼ (胡桃のあ Cover),AliA,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%81%8B%E3%81%8F%E3%82%8C%E3%82%93%E3%81%BC%20%28%E8%83%A1%E6%A1%83%E3%81%AE%E3%81%82%20Cover%29%20NOV%20sdvx
Ardenok,kanone VS nora2r,NOV,7.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=Ardenok%20NOV%20sdvx
Our garden is blue.,庭師+Aoi,NOV,8.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=Our%20garden%20is%20blue.%20NOV%20sdvx
Golden Rotation,xi,NOV,6.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=Golden%20Rotation%20NOV%20sdvx
Jupiter,technoplanet feat. Tamako Kinoshita,NOV,6.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=Jupiter%20NOV%20sdvx
Titanomachia,打打だいず vs. siromaru,NOV,7.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=Titanomachia%20NOV%20sdvx
流転に咲く魂の花,めと（Metomate）,NOV,6.0,SDVXオリジナル,,0.0,No Play,,https://www.youtube.com/results?search_query=%E6%B5%81%E8%BB%A2%E3%81%AB%E5%92%B2%E3%81%8F%E9%AD%82%E3%81%AE%E8%8A%B1%20NOV%20sdvx
回想音楽 - Thank you for your playing music,deli.+駄々子,NOV,5.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=%E5%9B%9E%E6%83%B3%E9%9F%B3%E6%A5%BD%20-%20Thank%20you%20for%20your%20playing%20music%20NOV%20sdvx
caramel ribbon (Tatsunoshin Remix),Tatsunoshin,NOV,5.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=caramel%20ribbon%20%28Tatsunoshin%20Remix%29%20NOV%20sdvx
XROSS INFECTION -xiRemix-,xi,NOV,7.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=XROSS%20INFECTION%20-xiRemix-%20NOV%20sdvx
The world of sound -celestial mix-,BlackY feat. Risa Yuzuki,NOV,6.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=The%20world%20of%20sound%20-celestial%20mix-%20NOV%20sdvx
Dynasty -dal segno-,Ashrount,NOV,6.0,FLOOR,,0.0,No Play,,https://www.youtube.com/results?search_query=Dynasty%20-dal%20segno-%20NOV%20sdvx
いいわけバニー,兎田ぺこら,NOV,2.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%81%84%E3%81%84%E3%82%8F%E3%81%91%E3%83%90%E3%83%8B%E3%83%BC%20NOV%20sdvx
最強女神†ウーサペコラ,兎田ぺこら,NOV,4.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E6%9C%80%E5%BC%B7%E5%A5%B3%E7%A5%9E%E2%80%A0%E3%82%A6%E3%83%BC%E3%82%B5%E3%83%9A%E3%82%B3%E3%83%A9%20NOV%20sdvx
全人類　兎化計画！,兎田ぺこら,NOV,5.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E5%85%A8%E4%BA%BA%E9%A1%9E%E3%80%80%E5%85%8E%E5%8C%96%E8%A8%88%E7%94%BB%EF%BC%81%20NOV%20sdvx
ララララビット！！,兎田ぺこら,NOV,3.0,その他,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%83%A9%E3%83%A9%E3%83%A9%E3%83%A9%E3%83%93%E3%83%83%E3%83%88%EF%BC%81%EF%BC%81%20NOV%20sdvx
じもとっこスイーツ♪,ホララ・ホリック with 日向美ビタースイーツ♪,NOV,5.0,ひなビタ♪/バンめし♪,,0.0,No Play,,https://www.youtube.com/results?search_query=%E3%81%98%E3%82%82%E3%81%A8%E3%81%A3%E3%81%93%E3%82%B9%E3%82%A4%E3%83%BC%E3%83%84%E2%99%AA%20NOV%20sdvx
