장르,곡 이름,아티스트,난이도 이름,레벨
東方アレンジ,Breath of Faith,satie,NOV,4
BEMANI,焔華,movies(moimoi×Xceon×Dai.),NOV,4
その他,オーバーライド,吉田夜世,NOV,4
BEMANI,Timepiece phase Ⅱ,佐々木博史,NOV,7
その他,ライアーダンサー,マサラダ,NOV,3
東方アレンジ,幻想プロミネンス,deli. vs 駄々子 vs かなたん,NOV,5
その他,右肩の蝶 (空澄セナ Cover),のりP,NOV,3
東方アレンジ,Misfortune Crawler,Aoi,NOV,6
SDVXオリジナル,// If Summer Ever Comes_,黒魔,NOV,7
SDVXオリジナル,ØVER《Δ》,EmoCosine overlay,NOV,7
SDVXオリジナル,オムニシエント・ゼロ,ke-ji（CERTIA）,NOV,7
SDVXオリジナル,カミツレの成り方,テヅカ feat. 遠山小春,NOV,6
SDVXオリジナル,KINGDOM COME,RoughSketch,NOV,8
SDVXオリジナル,Grαnd Arχitect,CHUBAY,NOV,6
SDVXオリジナル,Lollipop Error 404,Tsubusare BOZZ feat.madoka*,NOV,6
東方アレンジ,千歳に泡影,Inaori feat.兎角あかり,NOV,3
東方アレンジ,Lost Gear Syndrome,polysha vs. モリモリあつし,NOV,6
BEMANI,EYE OF THE HEAVEN,"BEMANI Sound Team ""U1-ASAMi""",NOV,7
BEMANI,Electronic Sports Complex,栄免建設,NOV,7
BEMANI,EROICA,"BEMANI Sound Team ""HERO""",NOV,7
BEMANI,Secret Rouge,ハレトキドキ,NOV,4
BEMANI,Snow Garland Fairy,"BEMANI Sound Team ""KE!JU""",NOV,6
その他,ぐしゃ,ポラリスピー,NOV,4
その他,Dear Deer,Hylen,NOV,6
その他,DISTORDER,DJ Myosuke,NOV,7
ボーカロイド,アイスクリームマジック,雪乃イト,NOV,3
ボーカロイド,エクスプロウル,晴いちばん,NOV,4
その他,惑星ループ (花芽すみれ Cover),ナユタン星人,NOV,3
ボーカロイド,ギャ・ギャ・ギャ・ギャラクシー！,つきみぐー、,NOV,3
ボーカロイド,悲報！ワイ！ニート！,Shu,NOV,5
ボーカロイド,あおばの足音,駄菓子O型,NOV,3
ボーカロイド,覚悟せよ！エンタンメ～ン ～より身の切り売り自暴自棄版～,マキシウキョウ,NOV,5
BEMANI,Windy Fairy,DJ TOTTO,NOV,5
BEMANI,幻影ノ消失,Xceon feat. Mayumi Morinaga,NOV,5
BEMANI,SCHWARZSCHILD FIELD,L.E.D.,NOV,6
BEMANI,Towards The Horizon,かめりあ,NOV,6
BEMANI,ビューティフル レシート,Lucky Vacuum,NOV,6
その他,CO5M1C R4ILR0AD,kanone,NOV,5
その他,ヒュブリスの頂に聳えるのは,qfeileadh feat.のあ,NOV,6
その他,Ö<3rf10₩,momocaca (月乃×Capchii),NOV,7
その他,Crossfade,La prière,NOV,4
その他,星界のアルペジオ,yuichi NAGAO,NOV,6
SDVXオリジナル,神凪,BlackY feat. Risa Yuzuki,NOV,8
SDVXオリジナル,Gryphone,ETIA.,NOV,7
SDVXオリジナル,黒蝶のワルツ,ぺのれり,NOV,7
SDVXオリジナル,Who then no 灯,星野音楽工房,NOV,7
その他,神威,TJ.hangneil,NOV,7
ボーカロイド,テレパシ,DECO*27,NOV,3
ボーカロイド,What's up? Pop!,Capchii feat. 初音ミク,NOV,7
BEMANI,Caldwell 99,BlackY,NOV,6
BEMANI,シュレーディンガーの猫,Cait Sith,NOV,7
その他,かくれんぼ (胡桃のあ Cover),AliA,NOV,3
SDVXオリジナル,Ardenok,kanone VS nora2r,NOV,7
SDVXオリジナル,Our garden is blue.,庭師+Aoi,NOV,8
SDVXオリジナル,Golden Rotation,xi,NOV,6
SDVXオリジナル,Jupiter,technoplanet feat. Tamako Kinoshita,NOV,6
SDVXオリジナル,Titanomachia,打打だいず vs. siromaru,NOV,7
SDVXオリジナル,流転に咲く魂の花,めと（Metomate）,NOV,6
FLOOR,回想音楽 - Thank you for your playing music,deli.+駄々子,NOV,5
FLOOR,caramel ribbon (Tatsunoshin Remix),Tatsunoshin,NOV,5
FLOOR,XROSS INFECTION -xiRemix-,xi,NOV,7
FLOOR,The world of sound -celestial mix-,BlackY feat. Risa Yuzuki,NOV,6
FLOOR,Dynasty -dal segno-,Ashrount,NOV,6
その他,いいわけバニー,兎田ぺこら,NOV,2
その他,最強女神†ウーサペコラ,兎田ぺこら,NOV,4
その他,全人類　兎化計画！,兎田ぺこら,NOV,5
その他,ララララビット！！,兎田ぺこら,NOV,3
ひなビタ♪/バンめし♪,じもとっこスイーツ♪,ホララ・ホリック with 日向美ビタースイーツ♪,NOV,5
ひなビタ♪/バンめし♪,チョコレートスマイル,日向美ビタースイーツ♪ & ここなつ,NOV,4
ひなビタ♪/バンめし♪,ロマンシングエスケープ,ここなつ2.0,NOV,3
FLOOR,孤独のドロップハンター,otoshi.b×でか大×みゅい,NOV,4
FLOOR,ぼくらのはじまりのおと,Shiron+こふ×モリモリあつしと提供でお送りしました。,NOV,6
FLOOR,MiRÀi,#EmoCosine,NOV,5
FLOOR,Line markeR,打打だいず,NOV,5
FLOOR,reSTART yOUR STORIES,setu-O,NOV,6
FLOOR,C18H27NO3(ryhki remix),ryhki,NOV,6
FLOOR,Crack Traxxxx (108x3 BPM Remix),RoughSketch,NOV,6
FLOOR,大宇宙ステージ奈落変,めと（Metomate）,NOV,5
FLOOR,"Profession (αirlemoneX ""Mechanical Engineering"" Remix)",αirlemoneX,NOV,5
ボーカロイド,強風オールバック,Yukopi,NOV,1
その他,テトリス,柊マグネタイト,NOV,4
その他,人マニア,原口沙輔,NOV,2
ボーカロイド,メズマライザー,サツキ,NOV,3
FLOOR,一水山風,Enterskip,NOV,6
FLOOR,Superstar!,Tatsunoshin,NOV,7
FLOOR,永久の粒虹,Yu-dachi,NOV,5
FLOOR,鳳凰誓歌,流星のサイトシーイング feat.雪希,NOV,5
FLOOR,Lunatic Mare,Alkome,NOV,6
SDVXオリジナル,ヴァルプルギスの夜,すっかりBPM200以下の曲を作れない体に改造されてしまった哀れなかぼちゃを見るがいい,NOV,6
SDVXオリジナル,Guinevere～白き妖精～,ぺのれり,NOV,7
SDVXオリジナル,細氷,かねこちはる,NOV,7
SDVXオリジナル,X1GNUS,BlackY,NOV,6
SDVXオリジナル,Never Forget Evergreen,黒魔,NOV,6
SDVXオリジナル,Nebula Dysorder,かめりあ,NOV,7
SDVXオリジナル,For All The Challengers,cosMo＠暴走P,NOV,6
SDVXオリジナル,Little Red Riding Hood,RoughSketch,NOV,6
SDVXオリジナル,while (screen is blue),kamome sano,NOV,7
その他,Everything B.K.,nora2r,NOV,5
その他,B.B.K.K.B.K.K. (USAO Remix),nora2r Remixed by USAO,NOV,6
その他,B.B.K.K.B.K.K. (影虎。 & siqlo PsyRemix),nora2r Remixed by 影虎。 & siqlo,NOV,4
FLOOR,ΛNXIENT:LEGΛXIEZ,Ashrount,NOV,6
FLOOR,ØverwriteTheCatastrophe,deli.+駄々子,NOV,5
FLOOR,Cumulonimbus,Hidra-Xjeil,NOV,6
FLOOR,Kool Awesome Croon,Super Shrimp,NOV,5
その他,I'm Your Treasure Box ＊あなたは マリンせんちょうを たからばこからみつけた。,宝鐘マリン,NOV,3
その他,Ahoy!! 我ら宝鐘海賊団☆,宝鐘マリン,NOV,4
その他,美少女無罪♡パイレーツ,宝鐘マリン,NOV,2
その他,幽霊船戦,宝鐘マリン,NOV,5
BEMANI,Come to Life,ARM (IOSYS) feat. Nicole Curry,NOV,6
BEMANI,COSMIC V3LOCITY,"BEMANI Sound Team ""Coyaan & KE!JU & ZAQUVA""",NOV,7
BEMANI,SOLAR ECLIPSE,"Yuta Imai Vs. BEMANI Sound Team ""Yvya""",NOV,7
FLOOR,Imitated Visions,荒谷サトル,NOV,6
FLOOR,こどもかくしのアンダーランド,iru feat. 桃寝ちのい,NOV,6
FLOOR,憧憬のファンファーレ,CHUBAY,NOV,6
FLOOR,Xinca,隣の庭は青い(庭師+Aoi),NOV,7
FLOOR,JACK -the KING Ki11ing-,打打だいず vs. siromaru,NOV,7
FLOOR,すべてを賭して,ke-ji,NOV,6
FLOOR,Don't you dare play GOD,technoplanet feat. Tamako Kinoshita,NOV,8
FLOOR,Voice 2 Voice n Voice,Acotto,NOV,5
POPS&アニメ,Growing Up／アニメ「この素晴らしい世界に祝福を！３」より,Machico,NOV,3
FLOOR,GIGI BABA(brz_style),brz1128,NOV,5
FLOOR,"PANIC HOLIC (かめりあ's ""24600 POWER"" Remix)",かめりあ,NOV,6
FLOOR,Four Leaves (Whitelily. remix),Whitelily.(みーに&しろさきあや),NOV,4
BEMANI,OROCHI STRIKE,"Hommarju & BEMANI Sound Team ""兎々""",NOV,6
BEMANI,Blφφdy Cφncertφ,OSTER project & RoughSketch,NOV,6
BEMANI,REINCARNATION,P*Light,NOV,7
BEMANI,Lichtsäule,"かめりあ & BEMANI Sound Team ""PHQUASE""",NOV,7
BEMANI,Re:RHYZE,beatnation RHYZE,NOV,6
FLOOR,We Are GamerZ!,Ninja Never DieS!,NOV,6
FLOOR,∞vitUniverse,Lime,NOV,6
FLOOR,ハガネノツルギ,coTatsu,NOV,5
FLOOR,¡¡Fanta∽cramble!!,Potwi,NOV,5
東方アレンジ,残像ニ繋ガレタ追憶ノHIDEAWAY,"SOUND HOLIC Vs. BEMANI Sound Team ""KE!JU"" feat. Nana Takahashi",NOV,3
東方アレンジ,SUPER HEROINE!!,"Amateras Records vs BEMANI Sound Team ""TATSUYA"" feat. miko",NOV,3
東方アレンジ,弾幕信仰,"豚乙女×BEMANI Sound Team ""PON""",NOV,5
東方アレンジ,閉塞的フレーション,"Pizuya's Cell VS BEMANI Sound Team ""dj TAKA""",NOV,4
BEMANI,ARACHNE,MAX MAXIMIZER,NOV,6
BEMANI,梅雪夜,Qrispy Joybox feat.mao,NOV,3
BEMANI,Crazy Jackpot,Hommarju,NOV,5
BEMANI,黒紅掬い,猫叉Master feat.霜月はるか,NOV,4
BEMANI,Poochie,kors k,NOV,6
FLOOR,アイの雫,kuro,NOV,6
FLOOR,Almandite,7mai,NOV,6
FLOOR,邪魔をしないで,Symholic feat.狛茉璃奈,NOV,4
FLOOR,Hopscotch,GrivR.,NOV,5
FLOOR,XΛLT=ØVER,Ashrount,NOV,7
FLOOR,Entropic EnĤαncemEnt,CHUBAY,NOV,7
FLOOR,SAD1STIC Я04D,Enterskip,NOV,7
FLOOR,Sweetie Beauti Magic,打打だいず feat. 凜々,NOV,6
FLOOR,月明りの旅人たち,coTatsu,NOV,4
FLOOR,Two of Wonder Lights,technoplanet feat. Tamako Kinoshita,NOV,6
FLOOR,トキノコエト,setu-O meets 駄々子,NOV,6
FLOOR,Vigor(siqlo's Hi-Tech Veats),siqlo,NOV,5
FLOOR,おにいちゃんグリッチホップ ～eternal love remix～,HOUJIROU feat. 杠葉えりか,NOV,3
FLOOR,Scarlet Pinheel -appassionato-,BlackY,NOV,6
FLOOR,ミュージックプレイヤー （J-pop Remix）,technoplanet feat. Risa Yuzuki,NOV,6
FLOOR,WobbleTangleFestival (影虎。 & ikaruga_nex's HDM RMX),影虎。 & ikaruga_nex,NOV,4
FLOOR,King's Gambit,brz1128,NOV,6
FLOOR,七七七夕,Mono. + uynet,NOV,6
FLOOR,HEAVEN KNOWS,U-ske feat.石橋桃,NOV,6
FLOOR,You Only Live Twice,Sephid feat. aria,NOV,5
その他,愛昧ショコラーテ,角巻わため,NOV,2
その他,曇天羊,角巻わため,NOV,3
その他,My song,角巻わため,NOV,5
その他,What an amazing swing,角巻わため,NOV,4
FLOOR,Appliqué(Vocal Remix),nonomori feat. Nanao,NOV,6
FLOOR,Gate of Atlantis (Vocal ∞ Mix),MasKaleido feat. ぁゅ,NOV,5
FLOOR,The setting sun(burst),nozakita kazumi,NOV,4
FLOOR,Max Burning!!(GαineN Beyond yΩu Remix),概念,NOV,6
FLOOR,ARISE,Juggernaut.,NOV,7
FLOOR,Allegro Saetta,天束 vs. siromaru,NOV,7
FLOOR,{ eXLIPXe },{ かめりあ },NOV,8
FLOOR,ウイジン,"CHUBAY as ""NOVICE""",NOV,6
FLOOR,Ex concordia felicitas,Connexio,NOV,5
FLOOR,Colorful Magical Parade,Tsubusare BOZZ feat.madoka*,NOV,5
FLOOR,StellarflightS,otoshi.b,NOV,6
FLOOR,Knew Order,あまみ×ひなみ,NOV,4
FLOOR,NO SURRENDER,493Water,NOV,6
FLOOR,BEMANI PRO LEAGUE -SEASON 2- SOUND VOLTEX ULTIMATE MEDLEY,FLOOR LEGENDS -BPL S2 SDVX-,NOV,6
FLOOR,プリュネシエル,瀬名 feat. 音羽ことり。,NOV,4
FLOOR,Cuz we <3 this Game,打打だいず,NOV,7
FLOOR,Xeno Gravity,xi,NOV,7
FLOOR,NEMSYS ARENA World Hexathlon,隣の庭は青い(庭師+Aoi),NOV,8
FLOOR,異次元の孤独～カナタノキミヘ～,RoughSkreamZ feat. Sennzai,NOV,6
FLOOR,Crawl Out Immortal,U-ske feat.Parfaitty,NOV,5
FLOOR,SΛMVICΛ,seatrus -Reborn-,NOV,6
FLOOR,MΔX FLAVØR,EmoCosine overlay,NOV,6
FLOOR,Ars Magna,Riz,NOV,6
FLOOR,Inevitable Magic,Alkome,NOV,6
FLOOR,LOVE TONIC,影虎。,NOV,5
BEMANI,waxing and wanding,青龍,NOV,6
FLOOR,グリーディ・スターズ！,みーに feat. しろさきあや,NOV,5
FLOOR,Di-Da-De-Doo,Yu_Asahina ft.Mizutama,NOV,5
FLOOR,Break Through Δpex,Halv feat.Kuroa*,NOV,6
FLOOR,イグジスター,東雲蛍 feat. はぁち,NOV,6
その他,カミサマ・ネコサマ,猫又おかゆ,NOV,3
その他,毒杯スワロウ,猫又おかゆ,NOV,4
FLOOR,花火のおもちゃ箱,Yu-dachi,NOV,5
その他,もぐもぐYUMMY！,猫又おかゆ,NOV,2
FLOOR,La Nostra Storia!,polysha w/ mikanzil,NOV,6
BEMANI,Ambivalent Vermilia,"BEMANI Sound Team ""二代目朱雀 feat.朱雀""",NOV,7
FLOOR,V!LLA!N,Kaname,NOV,5
FLOOR,ON THE WORLD,Yuta Imai,NOV,6
BEMANI,ちょえちょえまぎか,Pizuya's Cell,NOV,4
BEMANI,Deep tenDon Reflex,"BEMANI Sound Team ""Coyaan""",NOV,6
FLOOR,TOYBOX CANNØN=͟͟͞ Σ≡=｡ﾟ:*.:+｡.☆,Mono.,NOV,6
FLOOR,群青纏う朱の槍,めと（Metomate）,NOV,6
FLOOR,CHOVERY GOOSE!!!,MYUKKE.,NOV,5
FLOOR,トリコエリヌム▽コンチェルト,qfeileadh,NOV,6
FLOOR,We Are All The Dreamer,Hommarju ft. かぼちゃ,NOV,5
FLOOR,Double or Nothing,Tatsunoshin,NOV,6
その他,アンチグラビティ・ガール,月ノ美兎,NOV,4
その他,コントレイル,葛葉,NOV,3
その他,Virtual to LIVE,にじさんじ,NOV,2
その他,Circuit Surfer,kors k,NOV,7
BEMANI,ちくわパフェだよ☆ＣＫＰ (Yvya Remix),"Remixed by BEMANI Sound Team ""Yvya""",NOV,5
ひなビタ♪/バンめし♪,ポラリスノウタ,ここなつ2.0,NOV,3
BEMANI,めうめうぺったんたん！！ (ZAQUVA Remix),"Remixed by BEMANI Sound Team ""ZAQUVA""",NOV,5
FLOOR,Λkasha,BlackY feat. Risa Yuzuki,NOV,8
FLOOR,=∴NOMADE∵OTION=,qfeileadh + yuichi NAGAO,NOV,6
FLOOR,OVEЯ+TUЯE,kanone VS nora2r,NOV,7
FLOOR,随神,影虎。,NOV,6
FLOOR,TOKAKU=ALMiRAJ,MYUKKE.,NOV,6
FLOOR,Burst Λnd reBoost,めと（Metomate）,NOV,7
FLOOR,レインボウ・フレーバー,みーに feat. 杠葉えりか,NOV,6
ボーカロイド,ポッピンキャンディ☆フィーバー！,キノシタ feat.音街ウナ・鏡音リン,NOV,3
ボーカロイド,ポジティブ☆ダンスタイム,キノシタ feat.音街ウナ・鏡音リン,NOV,4
FLOOR,GEROL (Yooh Remix),Yooh,NOV,5
FLOOR,Sayonara Planet Wars (Sot-C Remix),Sot-C,NOV,6
FLOOR,ドリームエンド・サバイバー(Hidra-Xjeil Remix),Hidra-Xjeil,NOV,6
FLOOR,Lovesick Lovetune(brz_style),brz1128 feat.しろさきあや,NOV,4
その他,おにけもだんす,いろはにほへっと あやふぶみ(白上フブキ/百鬼あやめ/大神ミオ),NOV,4
BEMANI,朧,白上フブキ,NOV,4
その他,KINGWORLD,白上フブキ,NOV,5
その他,Say!ファンファーレ!,白上フブキ,NOV,2
その他,Happiness World,BABACORN(宝鐘マリン/白上フブキ),NOV,3
BEMANI,QQ,"BEMANI Sound Team ""PHQUASE & ZAQUVA""",NOV,7
BEMANI,Stylus,"BEMANI Sound Team ""HuΣeR""",NOV,6
SDVXオリジナル,HeaveИ's Rain,モリモリあつし,NOV,8
SDVXオリジナル,Undead Raving Scare,RoughSkreamZ,NOV,7
SDVXオリジナル,and After the Merry BADEND,polysha,NOV,7
SDVXオリジナル,Enter The Rave,Tatsunoshin,NOV,5
SDVXオリジナル,SHARK IMPACT,ryhki,NOV,6
SDVXオリジナル,十三不塔,隣の卓は役満(庭師+Aoi),NOV,6
SDVXオリジナル,リュミレイラ,後藤 feat. nayuta,NOV,5
BEMANI,Amazing Mirage,lapix,NOV,5
BEMANI,Element of SPADA,猫叉Master feat.霜月はるか,NOV,5
BEMANI,KAMAITACHI,DJ TECHNORCH fw. GUHROOVY,NOV,6
BEMANI,Follow Tomorrow,HHH×MM×ST,NOV,4
BEMANI,Please Welcome Mr.C,C-Show,NOV,6
BEMANI,One More Lovely,Risk Junk,NOV,7
FLOOR,Voice 7 Voice!!!!!!!,かめりあ feat. ななひら,NOV,6
FLOOR,Demetel (Erixa ”MYTH” Remix),Erixa,NOV,5
FLOOR,Dawn of Asia(Alkome Remix),Alkome,NOV,5
FLOOR,ませまてぃっく♡ま＋ま＝まじっく！　～徹夜の追込みエナジーまっくす！～,KAH feat.こにゃばた,NOV,6
BEMANI,suspicions,"BEMANI Sound Team ""猫叉Master VS dj TAKA""",NOV,6
BEMANI,THE PEERLESS UNDER HEAVEN,"Yuta Imai Vs. BEMANI Sound Team ""L.E.D.-G""",NOV,6
BEMANI,stellar rain,"BEMANI Sound Team ""PHQUASE""",NOV,4
SDVXオリジナル,APØCALYPSE RAY,xi,NOV,8
BEMANI,パーフェクトイーター,"BEMANI Sound Team ""PON"" feat.かなたん",NOV,3
BEMANI,累乗のカルマ,めと（Metomate）,NOV,5
SDVXオリジナル,ΣMERGENCY CODΣ,概念,NOV,6
SDVXオリジナル,Spectacular“V”Adventure!,Enterskip,NOV,7
SDVXオリジナル,BLISS,ミハイル + K.key,NOV,5
SDVXオリジナル,Breakneck Pursuit,Ashrount,NOV,7
SDVXオリジナル,Marielle,ゆんゆん,NOV,6
SDVXオリジナル,忘れないように、失くさないように,Mono.,NOV,5
その他,おちゃめ機能,ゴジマジP feat. 重音テト,NOV,3
その他,おねがいダーリン,OИE,NOV,3
FLOOR,Absurd Gaff (Metallize Remix),Metal Giant,NOV,7
FLOOR,うぇるかむ -||祭みっくす||-,忠兵衛,NOV,6
BEMANI,Shera,MYUKKE.,NOV,5
BEMANI,birth,Yu_Asahina,NOV,6
BEMANI,Prayer,溝口ゆうま feat. 大瀬良あい,NOV,6
FLOOR,劇場版ムーニャポヨポヨスッポコニャーゴ~侵略だいず帝国！ドラマティック宇宙大戦争~,打打だいず,NOV,6
FLOOR,The EXworld of sound,"Remix by Aoi, Vocal by Kuroa*",NOV,6
FLOOR,トーキョーサマーナイト（華金Remix）,あまみ×ひなみ,NOV,4
FLOOR,Pixelated Platform (Super Honey!),そよもぎ,NOV,5
BEMANI,凛として咲く花の如く,大神ミオ,NOV,3
FLOOR,Juωpscare!!,coTatsu,NOV,6
FLOOR,Second Game,Tracy feat. miko,NOV,5
FLOOR,D.I.X.,日夜すずり feat. 凜々,NOV,6
FLOOR,ハッピーエンド,technoplanet feat. Kuroto Sion,NOV,6
FLOOR,PRIDE of the FIREBALL,かぼちゃ feat. CO-DA,NOV,5
POPS&アニメ,Realize／アニメ「Re:ゼロから始める異世界生活」より,鈴木このみ,NOV,3
POPS&アニメ,Redo／アニメ「Re:ゼロから始める異世界生活」より,鈴木このみ,NOV,2
FLOOR,CadenzaMaiden,u-z feat.紫咲ほたる,NOV,5
FLOOR,機械仕掛けの魔法使い,Tsubusare BOZZ feat.madoka*,NOV,4
FLOOR,天穹のアルカナビット,打打だいず + Tanchiky + siromaru,NOV,6
FLOOR,For.*tune,Capchii × low meow × Uzumaki,NOV,5
東方アレンジ,無意識レクイエム (cosmobsp rmx),cosMo＠暴走P (original arranged by 森羅万象),NOV,6
東方アレンジ,マツヨイナイトバグ,ビートまりおとまろん,NOV,5
東方アレンジ,無意識レクイエム,森羅万象,NOV,4
東方アレンジ,Lost Emotion feat. nomico,Alstroemeria Records,NOV,3
FLOOR,アルファ・スカイ,みーに feat. しろさきあや,NOV,4
FLOOR,いでぃおで結構！,諸星なな feat.加藤はるか,NOV,4
その他,ENERGY SYNERGY MATRIX,Tanchiky,NOV,5
FLOOR,Zero-Day Exploit(One-Day Fusion Mix),庭師,NOV,6
その他,WWW,HIMEHINA,NOV,3
その他,チェイスチェイスジョーカーズのうた,カギコ&チノン（CV:金元寿子&大空直美）,NOV,4
FLOOR,Chocolate Planet (いるちょこRemix),irucaice feat. ちょこ,NOV,5
FLOOR,Distorted Floor -Boosted-,M-UE vs. siromaru,NOV,6
その他,"Hello, Hologram",HIMEHINA,NOV,4
ボーカロイド,ヒバナ-Reloaded-,DECO*27,NOV,2
その他,Blossom,Synthion,NOV,5
BEMANI,Aerial Skydive,Dirty Androids,NOV,5
BEMANI,quaver♪,Risk Junk,NOV,6
BEMANI,FUJIMORI -祭- FESTIVAL,VENUS,NOV,3
BEMANI,Black or Red?,コスモドライバー  join. shully & Nimo,NOV,5
BEMANI,リリーゼと炎龍レーヴァテイン,黒猫ダンジョン,NOV,6
FLOOR,赫焉のヴァルキュリア -Ragnarøk-,ryhki,NOV,7
FLOOR,CUDDLIE CUDDLIE,ゆんゆん,NOV,5
FLOOR,Garland,ミハイル + K.key,NOV,6
FLOOR,SuddeИDeath,xi vs. モリモリあつし,NOV,8
FLOOR,S(TAR)²☆pistol,Mono.,NOV,6
FLOOR,ステラ・イミグレーション,後藤 feat. リリカ,NOV,5
FLOOR,Brave Power Leader 《 = Voltage = 》,概念,NOV,6
FLOOR,HALO,Tatsunoshin,NOV,7
FLOOR,零天視,隣の庭は青い(庭師+Aoi),NOV,6
BEMANI,アガット,Bazole,NOV,6
BEMANI,Welcome to the Mosh Pit,lapix,NOV,5
BEMANI,[E],dj MAX STEROID,NOV,5
BEMANI,少年リップルズ,常盤ゆう,NOV,6
その他,過去を喰らう,花譜,NOV,4
その他,食虫植物,理芽,NOV,2
その他,フォニイ,ツミキ feat.可不,NOV,3
FLOOR,Glory of Fighters,RoughSkreamZ,NOV,7
FLOOR,All We Need is HAPPY END!!!,polysha,NOV,7
SDVXオリジナル,Tickled Pink,"BEMANI Sound Team ""ZAQUVA""",NOV,6
FLOOR,DEUX EX MĀXHINĀ,Ashrount,NOV,7
FLOOR,MILITARY R04D,Enterskip,NOV,7
BEMANI,禊,Nhato,NOV,6
BEMANI,恋愛＝精度×認識力,"立秋 vs. BEMANI Sound Team ""L.E.D.-G"" feat.ちょこ＆ななひら",NOV,7
BEMANI,儚キ戀ノ幻想譚,まろん feat. あやぽんず＊ (森羅万象),NOV,5
FLOOR,Thousand Triggers,めと（Metomate）,NOV,6
FLOOR,trea→journey,CHUBAY,NOV,6
FLOOR,イグノアザーズ,U-ske feat. 安土桃,NOV,6
FLOOR,Paradigm Shift,あまみ×ひなみ,NOV,6
FLOOR,Fl0ating:,yuichi NAGAO,NOV,6
FLOOR,Petit espoir,しーけー,NOV,6
FLOOR,最果ての勇者にラブソングを,deli.+駄々子,NOV,6
FLOOR,灼ナル刃、破カヰ譜,Symholic feat.狛茉璃奈,NOV,6
FLOOR,Initiating League,EmoCosine vs. nora2r,NOV,6
FLOOR,Scat Jazz Dance,Super Shrimp,NOV,5
FLOOR,Ice Fortress,荒谷サトル,NOV,6
SDVXオリジナル,graduation,星野音楽工房,NOV,6
その他,シル・ヴ・プレジデント,P丸様。,NOV,2
FLOOR,MURASAME,Hommarju,NOV,6
FLOOR,ENDGAME,Yuta Imai,NOV,6
FLOOR,ИADIR,Ashrount vs polysha,NOV,6
